,experiment,metric,measure,lm_fit,n_subj,n_item,Q1,median,Q3,failed_mean,power_Q1,power_median,power_Q3
135,Relative Clause,go_past_time,SPR,good,140,24,-9.04709216170198,-2.61962306112463,3.85766781455368,0.0666666666666667,0.234113712374582,0.150687285223368,0.374016184458486
136,Relative Clause,go_past_time,SPR,good,160,24,-9.04709216170198,-2.61962306112463,3.85766781455368,0.0666666666666667,0.274132138857783,0.218599033816425,0.401545698924731
137,Relative Clause,go_past_time,SPR,good,180,24,-9.04709216170198,-2.61962306112463,3.85766781455368,0.065,0.224905303030303,0.227106227106227,0.421052631578947
138,Relative Clause,go_past_time,SPR,good,200,24,-9.04709216170198,-2.61962306112463,3.85766781455368,0.0633333333333333,0.297424412094065,0.23312356979405,0.458950046253469
139,Adverb,go_past_time,MoTR,good,100,24,69.3667422103234,79.9758144786674,91.1949801674806,0,0.99,1,1
140,Adverb,go_past_time,MoTR,good,120,24,69.3667422103234,79.9758144786674,91.1949801674806,0,1,1,1
141,Adverb,go_past_time,MoTR,good,140,24,69.3667422103234,79.9758144786674,91.1949801674806,0.00666666666666666,0.98,1,1
142,Adverb,go_past_time,MoTR,good,160,24,69.3667422103234,79.9758144786674,91.1949801674806,0.00666666666666667,1,1,1
143,Adverb,go_past_time,MoTR,good,180,24,69.3667422103234,79.9758144786674,91.1949801674806,0.0133333333333333,1,1,1
144,Adverb,go_past_time,MoTR,good,200,24,69.3667422103234,79.9758144786674,91.1949801674806,0.00666666666666668,1,1,1
145,Adverb,go_past_time,G-Maze,good,100,24,115.68358896458,157.305352993484,198.158548500782,0.01,0.928571428571429,0.97979797979798,1
146,Adverb,go_past_time,G-Maze,good,120,24,115.68358896458,157.305352993484,198.158548500782,0.01,0.9,1,1
147,Adverb,go_past_time,G-Maze,good,140,24,115.68358896458,157.305352993484,198.158548500782,0.0166666666666667,0.93939393939394,1,1
148,Adverb,go_past_time,G-Maze,good,160,24,115.68358896458,157.305352993484,198.158548500782,0.0133333333333333,0.96969696969697,1,1
149,Adverb,go_past_time,G-Maze,good,180,24,115.68358896458,157.305352993484,198.158548500782,0.00999999999999999,0.96,1,1
150,Adverb,go_past_time,G-Maze,good,200,24,115.68358896458,157.305352993484,198.158548500782,0.00999999999999999,0.969387755102041,1,1
151,Adverb,go_past_time,A-Maze,ill,100,24,138.384869426642,159.602083891809,181.35651552253,0.00666666666666667,1,1,1
152,Adverb,go_past_time,A-Maze,ill,120,24,138.384869426642,159.602083891809,181.35651552253,0.02,1,1,1
153,Adverb,go_past_time,A-Maze,ill,140,24,138.384869426642,159.602083891809,181.35651552253,0.0166666666666667,1,1,1
154,Adverb,go_past_time,A-Maze,ill,160,24,138.384869426642,159.602083891809,181.35651552253,0.0266666666666667,1,1,1
155,Adverb,go_past_time,A-Maze,ill,180,24,138.384869426642,159.602083891809,181.35651552253,0.0266666666666667,1,1,1
156,Adverb,go_past_time,A-Maze,ill,200,24,138.384869426642,159.602083891809,181.35651552253,0.0366666666666667,1,1,1
157,Adverb,go_past_time,SPR,ill,100,24,-0.57309692384122,4.3924040172073,9.36410721805684,0.0283333333333333,0.44372852233677,0.541447506837787,0.755049442457395
158,Adverb,go_past_time,SPR,ill,120,24,-0.57309692384122,4.3924040172073,9.36410721805684,0.0316666666666666,0.44531914893617,0.560448232323232,0.804123711340206
159,Adverb,go_past_time,SPR,ill,140,24,-0.57309692384122,4.3924040172073,9.36410721805684,0.0566666666666667,0.467298525662343,0.602150537634409,0.8
160,Adverb,go_past_time,SPR,ill,160,24,-0.57309692384122,4.3924040172073,9.36410721805684,0.0366666666666666,0.499776035834267,0.586734693877551,0.788659793814433
161,Adverb,go_past_time,SPR,ill,180,24,-0.57309692384122,4.3924040172073,9.36410721805684,0.05,0.490087365591398,0.573684210526316,0.845744680851064
162,Adverb,go_past_time,SPR,ill,200,24,-0.57309692384122,4.3924040172073,9.36410721805684,0.05,0.532594086021505,0.602040816326531,0.854838709677419
